f-lig-chi-0,f-lig-chi-1,f-lig-chi-2,f-lig-chi-3,f-lig-Z-0,f-lig-Z-1,f-lig-Z-2,f-lig-Z-3,f-lig-I-0,f-lig-I-1,f-lig-I-2,f-lig-I-3,f-lig-T-0,f-lig-T-1,f-lig-T-2,f-lig-T-3,f-lig-S-0,f-lig-S-1,f-lig-S-2,f-lig-S-3,name
114.5126,206.65199999999993,311.74639999999994,326.98,572.0,1032.0,1484.0,1462.0,14.0,28.0,40.0,42.0,68.0,156.0,192.0,176.0,7.0878,14.9996,20.551199999999998,20.444200000000006,XUCSOF_clean_primitive
114.5126,206.65199999999996,311.7464,326.98,572.0,1032.0,1484.0,1462.0,14.0,28.0,40.0,42.0,68.0,156.0,192.0,176.0,7.087799999999999,14.999600000000001,20.551200000000005,20.4442,XUCSOF_clean_primitive
114.5126,206.65199999999993,311.74639999999994,326.9800000000001,572.0,1032.0,1484.0,1462.0,14.0,28.0,40.0,42.0,68.0,156.0,192.0,176.0,7.087799999999999,14.999600000000003,20.551199999999998,20.444200000000006,XUCSOF_clean_primitive
114.5126,206.652,311.74639999999994,326.9800000000001,572.0,1032.0,1484.0,1462.0,14.0,28.0,40.0,42.0,68.0,156.0,192.0,176.0,7.087799999999999,14.999600000000001,20.5512,20.444200000000002,XUCSOF_clean_primitive
114.5126,206.65199999999993,311.7464,326.98,572.0,1032.0,1484.0,1462.0,14.0,28.0,40.0,42.0,68.0,156.0,192.0,176.0,7.0878,14.999600000000001,20.551199999999998,20.444200000000002,XUCSOF_clean_primitive
114.51259999999999,206.65199999999996,311.74639999999994,326.97999999999996,572.0,1032.0,1484.0,1462.0,14.0,28.0,40.0,42.0,68.0,156.0,192.0,176.0,7.0878,14.999600000000001,20.551199999999998,20.4442,XUCSOF_clean_primitive
114.5126,206.65200000000002,311.74640000000005,326.98,572.0,1032.0,1484.0,1462.0,14.0,28.0,40.0,42.0,68.0,156.0,192.0,176.0,7.0878,14.999600000000001,20.551199999999998,20.4442,XUCSOF_clean_primitive
114.5126,206.652,311.7464,326.98,572.0,1032.0,1484.0,1462.0,14.0,28.0,40.0,42.0,68.0,156.0,192.0,176.0,7.0878,14.999599999999997,20.551200000000005,20.4442,XUCSOF_clean_primitive
114.5126,206.65199999999993,311.74639999999994,326.98,572.0,1032.0,1484.0,1462.0,14.0,28.0,40.0,42.0,68.0,156.0,192.0,176.0,7.0878,14.999600000000001,20.551199999999998,20.444200000000002,XUCSOF_clean_primitive
114.5126,206.65199999999996,311.7464,326.98,572.0,1032.0,1484.0,1462.0,14.0,28.0,40.0,42.0,68.0,156.0,192.0,176.0,7.0878,14.9996,20.5512,20.444200000000002,XUCSOF_clean_primitive
114.5126,206.652,311.74639999999994,326.98,572.0,1032.0,1484.0,1462.0,14.0,28.0,40.0,42.0,68.0,156.0,192.0,176.0,7.0878,14.999600000000001,20.551199999999998,20.444200000000002,XUCSOF_clean_primitive
114.5126,206.65199999999996,311.7464,326.98,572.0,1032.0,1484.0,1462.0,14.0,28.0,40.0,42.0,68.0,156.0,192.0,176.0,7.0878,14.999600000000001,20.551199999999994,20.444200000000002,XUCSOF_clean_primitive
